,spot,wave_direction,wave_type,crowd_level,reg_link,latitude,longitude
12,Uluwatu,Left,Reef break,Mental,https://surfing-waves.com/atlas/asia/indonesia/bali/spot/uluwatu.html,-8.80806446075439,115.08968353271484
0,Caberete,Right & left,Beach break,Not Too Bad,https://surfing-waves.com/atlas/north_america/caribbean/dominican_republic/spot/caberete.html,19.69754600524902,-70.34545898437500
1,Cayena,Right,Beach break,Empty,https://surfing-waves.com/atlas/north_america/caribbean/dominican_republic/spot/cayena.html,19.29688644409180,-69.76181030273438
2,El Manda,Right & left,Beach break,Empty,https://surfing-waves.com/atlas/north_america/caribbean/dominican_republic/spot/el_manda.html,17.98630523681641,-71.16345977783203
3,Encuentro,Right & left,Reef break,Not Too Bad,https://surfing-waves.com/atlas/north_america/caribbean/dominican_republic/spot/encuentro.html,19.78082847595215,-70.44586181640625
4,La Punta,Right & left,Beach break,Empty,https://surfing-waves.com/atlas/north_america/caribbean/dominican_republic/spot/la_punta.html,19.68235397338867,-70.01303863525390
5,Los Patos,Right,Point break,Can Get Busy,https://surfing-waves.com/atlas/north_america/caribbean/dominican_republic/spot/los_patos.html,18.22437858581543,-70.18903350830078
6,Macao,Right & left,Beach break,Not Too Bad,https://surfing-waves.com/atlas/north_america/caribbean/dominican_republic/spot/macao.html,18.78151702880859,-68.54919433593750
7,Playa Bonita,Right & left,Beach break,Not Too Bad,https://surfing-waves.com/atlas/north_america/caribbean/dominican_republic/spot/playa_bonita.html,19.31454467773438,-69.56620025634766
0,Arugam Bay Main Point,Right,Reef break,Not Too Bad,https://surfing-waves.com/atlas/asia/sri_lanka/spot/arugam_bay_main_point.html,6.85007762908936,81.85638427734375
1,Deveta,Right & left,Beach break,Not Too Bad,https://surfing-waves.com/atlas/asia/sri_lanka/spot/deveta.html,6.03310298919678,80.22335052490234
2,Elephant Rock,Right,Point break,Can Get Busy,https://surfing-waves.com/atlas/asia/sri_lanka/spot/elephant_rock.html,6.80431318283081,81.82582855224610
3,Hana's surf spot,Right & left,Reef break,Busy,https://surfing-waves.com/atlas/asia/sri_lanka/spot/hanas_surf_spot.html,5.97484779357910,80.35511016845703
4,Hikkaduwa,Right,Reef break,Busy,https://surfing-waves.com/atlas/asia/sri_lanka/spot/hikkaduwa.html,6.13236236572266,80.09307861328125
5,Maddawatta,Right & left,Beach break,Not Too Bad,https://surfing-waves.com/atlas/asia/sri_lanka/spot/maddawatta.html,5.93869209289551,80.57026672363281
6,Madiha,Right & left,Reef break,Can Get Busy,https://surfing-waves.com/atlas/asia/sri_lanka/spot/madiha.html,5.94389963150024,80.61767578125000
7,Midigama Left,Left,Point break,Can Get Busy,https://surfing-waves.com/atlas/asia/sri_lanka/spot/midigama_left.html,5.95999145507812,80.39015960693360
8,Midigama Right,Right,Reef break,Empty,https://surfing-waves.com/atlas/asia/sri_lanka/spot/midigama_right.html,5.96140003204346,80.38613891601562
9,The Peak Surf Point Habaraduwa,Right & left,Reef break,Not Too Bad,https://surfing-waves.com/atlas/asia/sri_lanka/spot/the_peak_surf_point_habaraduwa.html,5.92204475402832,80.32653808593750
10,Unawtuna,Left,Reef break,Empty,https://surfing-waves.com/atlas/asia/sri_lanka/spot/unawtuna.html,6.00228881835938,80.24371337890625
11,Weligama,Right & left,Beach break,Busy,https://surfing-waves.com/atlas/asia/sri_lanka/spot/weligama.html,5.95824146270752,80.43648529052734
12,Whiskey Point,Right,Point break,Not Too Bad,https://surfing-waves.com/atlas/asia/sri_lanka/spot/whiskey_point.html,6.90623283386230,81.84640502929688
0,Batts Rock,Right,Reef break,Not Too Bad,https://surfing-waves.com/atlas/north_america/caribbean/barbados/spot/batts_rock.html,13.13573741912842,-59.63958358764648
